algorithm,scan,signal,op_channel,nic_channel,ssid,bssid,vendor,delayj,delayk,frame_type,kernel_time,jiffies,prequest
200,9,-75,11,11,Livebox-17D8,2c:39:96:2d:17:d8,NA,30,0.0308029999996506,presponse,4974.684985,4674685,2390
200,9,-76,9,9,FreeWifi,36:c8:44:f5:05:a8,NA,3,0.0031619999999748,presponse,4974.690305,4674691,2391
200,9,-76,9,9,FreeWifi_secure,36:c8:44:f5:05:a9,NA,5,0.00576900000032765,presponse,4974.692912,4674693,2391
200,9,-76,8,8,NUMERICABLE-INVITES,02:1f:33:df:ad:9a,NA,2,0.00239099999998871,presponse,4974.756499,4674757,2394
200,9,-76,1,1,FreeWifi_secure,14:0c:76:f4:42:56,NA,9,0.00928599999951985,presponse,4974.808469,4674809,2398
200,9,-73,1,1,willow,1a:77:3f:d6:3f:b8,NA,18,0.018011000000115,presponse,4974.817194,4674818,2398
200,9,-73,1,1,FreeWifi,1a:77:3f:d6:3f:ba,NA,22,0.0220620000000054,presponse,4974.821245,4674822,2398
200,10,-77,6,6,Livebox-5a5a,d0:ae:ec:32:b9:94,NA,8,0.00814300000001822,presponse,5015.899278,4715900,2487
200,10,-69,6,6,Livebox-58b0,d0:ae:ec:53:9f:ed,NA,14,0.0146510000004128,presponse,5015.905786,4715906,2487
200,10,-75,6,6,Livebox-BBC2,40:5a:9b:73:bb:c2,NA,23,0.0231599999997343,presponse,5015.914295,4715915,2487
200,10,-76,6,6,Livebox-BBC2,40:5a:9b:73:bb:c2,NA,30,0.0306840000002921,presponse,5015.921819,4715922,2487
200,10,-54,1,1,Freebox-658F15,14:0c:76:f4:42:54,NA,6,0.00656399999934365,presponse,5015.930675,4715931,2488
200,10,-60,1,1,FreeWifi,14:0c:76:f4:42:55,NA,15,0.0151539999997112,presponse,5015.939265,4715940,2488
200,10,-54,1,1,FreeWifi_secure,14:0c:76:f4:42:56,NA,17,0.0179119999993418,presponse,5015.942023,4715942,2488
200,10,-72,1,1,TNCAP1C9EFF,58:98:35:1c:9e:ff,NA,29,0.0298189999994065,presponse,5015.95393,4715954,2488
200,10,-76,11,11,NEUF_6980,00:17:33:f5:69:84,NA,6,0.00655900000037946,presponse,5015.966674,4715967,2489
200,10,-70,11,11,Livebox-74F0,dc:02:8e:54:74:f0,NA,22,0.022649000000456,presponse,5015.982764,4715983,2489
200,10,-79,11,11,37degres,4a:f9:dc:39:15:1c,NA,25,0.0253069999998843,presponse,5015.985422,4715986,2489
200,10,-77,11,11,SFR WiFi FON,c2:17:33:f5:69:85,NA,29,0.029117000000042,presponse,5015.989232,4715990,2489
200,10,-78,11,11,SFR WiFi Mobile,c2:17:33:f5:69:87,NA,30,0.0308380000005855,presponse,5015.990953,4715991,2489
200,10,-67,9,9,NN,86:7d:ce:49:9a:6c,NA,3,0.00342300000011164,presponse,5015.996497,4715997,2490
200,10,-70,9,9,FreeWifi,86:7d:ce:49:9a:6e,NA,7,0.00801599999977043,presponse,5016.00109,4716001,2490
200,10,-69,9,9,FreeWifi_secure,86:7d:ce:49:9a:6f,NA,10,0.0107589999997799,presponse,5016.003833,4716004,2490
200,10,-74,9,9,FreeWifi,36:c8:44:f5:05:a8,NA,23,0.0238689999996495,presponse,5016.016943,4716017,2490
200,10,-72,9,9,FreeWifi_secure,36:c8:44:f5:05:a9,NA,31,0.0317740000000413,presponse,5016.024848,4716025,2490
200,10,-71,11,10,Livebox-74F0,dc:02:8e:54:74:f0,NA,9,0.00975500000004104,presponse,5016.036846,4716037,2491
200,10,-79,8,8,FreeWifi,f4:ca:e5:9b:fb:81,NA,2,0.002929000000222,presponse,5016.08806,4716088,2493
200,10,-67,7,7,FreeWifi_secure,f4:ca:e5:e6:36:fa,NA,4,0.00500699999975041,presponse,5016.102078,4716102,2494
200,10,-67,7,7,FreeWifi,f4:ca:e5:e6:36:f9,NA,6,0.0068730000002688,presponse,5016.103944,4716104,2494
200,10,-66,7,7,FreeWifi,f4:ca:e5:e6:36:f9,NA,8,0.00879100000020117,presponse,5016.105862,4716106,2494
200,10,-67,7,7,serpaggi,f4:ca:e5:e6:36:f8,NA,10,0.0108430000000226,presponse,5016.107914,4716108,2494
200,10,-69,6,7,Livebox-58b0,d0:ae:ec:53:9f:ed,NA,14,0.0146990000002916,presponse,5016.11177,4716112,2494
200,10,-54,1,2,FreeWifi,14:0c:76:f4:42:55,NA,0,0.000624999999672582,presponse,5016.145815,4716146,2497
200,10,-55,1,2,Freebox-658F15,14:0c:76:f4:42:54,NA,4,0.00468600000021979,presponse,5016.149876,4716150,2497
200,10,-55,1,2,FreeWifi_secure,14:0c:76:f4:42:56,NA,6,0.00674900000012713,presponse,5016.151939,4716152,2497
200,10,-72,1,1,TNCAP1C9EFF,58:98:35:1c:9e:ff,NA,12,0.0127309999998033,presponse,5016.157921,4716158,2497
200,10,-81,-2,1,,00:14:a4:5c:3e:f5,NA,17,0.0176199999996243,presponse,5016.16281,4716163,2497
200,11,-72,6,6,reseaujegu,00:1a:2b:3b:cc:69,NA,5,0.00549999999930151,presponse,5056.158651,4756159,2762
200,11,-69,6,6,NUMERICABLE-2013,24:ec:99:da:15:3b,NA,12,0.0125099999995655,presponse,5056.165661,4756166,2762
200,11,-73,6,6,Livebox-0a84,5c:33:8e:4c:b8:79,NA,21,0.0211979999994583,presponse,5056.174349,4756175,2762
200,11,-69,6,6,NUMERICABLE-2013,24:ec:99:da:15:3b,NA,25,0.0253529999999955,presponse,5056.178504,4756179,2762
200,11,-81,1,1,Livebox-B550,00:14:a4:5c:3e:f5,NA,3,0.00380499999937456,presponse,5056.187902,4756188,2763
